Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Full Description,Industries,Headquarters Location,Description,CB Rank (Company)
Magna BSP,https://www.crunchbase.com/organization/magna-bsp,2001-01-01,year,"Magna developed a unique system based on 3D cameras and sophisticated algorithm promises over 99% detection rate and only 1 to 24 hour false alarm rate, to avoid these common incidents. Magna uses the same principle as a human body – two eyes and a brain. Among the system’s abilities are: distinction between people and animals, pre-alerts by suspicious movements, an automatically learning system, high filtering ability and more. Magna system is also cost effective in terms of power supply, systems integration, equipment and maintenance.","Enterprise, Intrusion Detection, Military, Security, Video","Tel Aviv, Tel Aviv, Israel",Magna BSP is a company that offers home and business security with a innovative 3D video surveillance.,"575,739"
Salead,https://www.crunchbase.com/organization/salead,2012-01-01,year,"Salead offers a business-to-business networking platform that automates and creates qualified business opportunities and marketing business intelligence through its cognitive text analysis technology and associative data mining algorithms. The platform enables and automates the entire process of finding the next sale opportunity for a business in real time. Salead was founded in 2012 and is based in Tel Aviv, Israel.","Artificial Intelligence (AI), B2B, Business Intelligence, Digital Marketing, Information Technology, Small and Medium Businesses, Software, Text Analytics","Tel Aviv, Tel Aviv, Israel",Salead offers a business-to-business networking platform that creates qualified business opportunities and marketing business intelligence.,"578,860"
ERAN,https://www.crunchbase.com/organization/eran,1971-01-01,year,,"Consulting, First Aid, Health Care, Medical, Non Profit, Psychology","Netanya, HaMerkaz, Israel",ERAN is a nonprofit organization that provides emotional first-aid services.,"589,814"
NEURONIX,https://www.crunchbase.com/organization/neuronix,2008-01-01,year,"Neuronix’s mission is to turn Dementia a Manageable Chronic Disease, by introducing new methods for modifying the course of treatment for Neuro-degenerative Diseases and in particular Alzheimer Disease (AD). Thus, offering hope and long-term improvement in the quality of life of patients. Led by a highly motivated management team and supported by an Advisory Board made up of key opinion leaders in the field, Neuronix’s neuroAD technology is currently undergoing advanced clinical trials in major medical centers across the globe.","Clinical Trials, Health Care, Medical Device","Yoqne`am `illit, HaZafon, Israel","Neuronix’s mission is to turn Dementia a Manageable Chronic Disease, by introducing new methods for modifying the course of treatment for","597,075"
ClearForest,https://www.crunchbase.com/organization/clearforest,1998-01-01,year,"ClearForest is a software company that develops and markets text analytics and text mining solutions. Founded in 1998, ClearForest has its headquarters just outside of Boston and has development in Israel near Tel Aviv.","Analytics, Natural Language Processing, Neuroscience, Semantic Web, Software, Text Analytics","Kiriat Arieh, HaMerkaz, Israel",ClearForest is a software company that develops and markets text analytics and text mining solutions.,"611,421"
SensoMedical,https://www.crunchbase.com/organization/sensomedical-labs,2014-01-01,year,"SensoMedical is a group that developing a process of stimulating electrodes in the brain. The company developing devices in the neurotechnology space is a complex science that requires expertise in multiple fields including neurology, electrophysiology, and designing active implants.  They manage the entire process starting with planning, design, architecture, product spec, and development requirements, design and development, verification and validation including biocompatibility testing, sterility, cleanliness, and electrical safety, regulatory applications, production of prototypes for initial marketing and clinical trials and establishment of the mass production process. SensoMedical was founded by  Maroun Farah in 2014 and is headquartered in Nazareth, Israel.","Biotechnology, Health Care, Medical, Medical Device","Nazareth, HaZafon, Israel",SensoMedical is a group that developing a process of stimulating electrodes in the brain.,"612,080"
Otorize LTD,https://www.crunchbase.com/organization/otorize,2016-02-01,day,"Otorize is the first proven solution for detecting cognitive impairment. It’s a simple yet breakthrough app that can detect cognitive impairment in seconds. It doesn't use membranes or filters NOT intrusive, NO bodily fluids, NO HW needed, effective on all substances be it alcohol, cannabis or drugs. 100% digital. Otorize can help companies and managers prevent accidents caused by impaired operators in the workplace or DUI/DWI. Otorize assists in self regulating and reducing the likelihood of damage, accidents, injury and death.","Assistive Technology, Health Care, Mobile Apps","Jerusalem, Yerushalayim, Israel",Otorize is a mobile app that detects cognitive impairment.,"613,235"
Excellent Brain,https://www.crunchbase.com/organization/excellent-brain,2015-01-01,day,B2C and B2B Neurofeedback Brain Training Platform for training attention and relaxation.,"Neuroscience, Training, Wellness","Ramat Gan, Tel Aviv, Israel",Excellent Brain develops innovative brain training solutions based on BCI and Neurofeedback.,"616,698"
Libra@Home,https://www.crunchbase.com/organization/libra-home,2014-01-01,year,"Libra@Home has developed a fully immersive virtual reality tool for physical and occupational therapists to improve the delivery and quality of treatment to patients with neurological disorders, both in the clinic and at home. This neurorehabilitation platform uses virtual reality to deliver therapeutic stimuli and sensors and wearables to monitor patient outcomes and track performance.",Medical Device,"Jerusalem, Yerushalayim, Israel",Libra@Home is a neuro-rehabilitation company developing a complete portable rehabilitation platform.,"617,215"
ALYN Woldenberg Family Hospital,https://www.crunchbase.com/organization/alyn-woldenberg-family-hospital,1932-01-01,year,"ALYN Hospital is a pediatric and adolescent rehabilitation facility, treating children with congenital and acquired conditions. It specializes in treating cerebral palsy, neuromuscular diseases, spinal cord injuries, brain injuries, burns, terror, and motor vehicle accident victims. The rehabilitation facility was founded in 1932 in Jerusalem, Yerushalayim.","Health Care, Hospital, Wellness","Jerusalem, Yerushalayim, Israel","ALYN Hospital is a pediatric and adolescent rehabilitation facility, treating children with congenital and acquired conditions.","618,238"
Qrative,https://www.crunchbase.com/organization/qrative-inventive-ip,2008-01-01,day,"Qrative offers an intellectual property research and analysis for patent prosecution and litigation services. It includes analysis, landscaping, and monitoring it specializes in neuroscience-based technology and military intelligence data analysis. The company was founded in 2008 and headquartered in Tel Aviv, Israel.","Analytics, Business Development, Intellectual Property, Legal Tech","Tel Aviv-yafo, Tel Aviv, Israel",Qrative offers an intellectual property research and analysis for patent prosecution and litigation services.,"620,311"
Braincast,https://www.crunchbase.com/organization/braincast,2019-01-01,year,Braincast helps Developers to build smarter products and improve customer experience.  Braincast cloud API enables developers to develop their own artificial intelligence solutions without any previous knowledge in machine learning (ML) resulting in a significantly faster & cheaper development process compared to tradition ML approaches and products. Braincast is based on technology protected with patents and developed at the Cyber Research Center of Ben-Gurion University.,"Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Data Mining, Developer APIs, Developer Platform, Developer Tools, Machine Learning, SaaS, Software","Tel Aviv, Tel Aviv, Israel",General Purpose Machine Learning API for Developers,"624,902"
Tradis Gat,https://www.crunchbase.com/organization/tradis-gat,1963-01-01,year,,"Health Care, Medical, Psychology, Therapeutics","Petah Tiqva, HaMerkaz, Israel","Tradis Gat provides psychological, orthopedic, pediatric, anesthesiology, and cardiology services.","647,443"
Soly Emotional Health,https://www.crunchbase.com/organization/soly-emotional-health,2021-12-01,day,"Soly provides accessible, on-demand mental health assistance by combining cutting-edge technology with expert human support. Our solutions, carefully designed by renowned trauma therapists, merge modern science with ancient practices to offer emotional healing that's available anytime and anywhere. The Problem: - More than 50% of trauma victims remain untreated. - There are significant gaps in public trauma education and support resources. - Existing systems often become overwhelmed during crises. Our Solution: - Our on-demand chatbot delivers personalized trauma therapy 24/7. - We focus on providing widespread public education and resilience skills. - We offer crisis responses for immediate, large-scale support. - Our approach integrates both modern and time-tested methodologies. Making a Meaningful Impact: - In just three weeks, we've onboarded over 14,000 users, with a daily retention rate of 5%. - We've achieved an average 28% reduction in anxiety and a 77% success rate in our initial trial. - We are currently in the process of integrating with government agencies. Unleashing Massive Potential: - The global mental wellness market is projected to exceed $280 billion by 2030. - We're rapidly expanding our services across Israel and the world. - We're deepening our collaboration with government emergency response teams.","Health Care, Information Technology, Medical, Wellness","Jerusalem, Yerushalayim, Israel",Soly blends ancient therapies with technological innovations to deliver accessible emotional relief to all in need.,"658,130"
Ginger Tiger,https://www.crunchbase.com/organization/ginger-tiger,2013-01-01,year,"Their aim is to enable each special needs user to receive all the content that will promote his or her development, learning and enjoyment, everywhere, every time and on every possible platform. Ginger Tiger suitable for children with Specific Learning Disabilities, Autism, Physical Disabilities, Deaf or Blindness, Developmental Delays, Hearing Impairments, Mental Retardation, Multiple Disabilities, Speech and Language Impairments, and Visual Impairments. Ginger Tiger is accessible anywhere and anytime on a multitude of platforms (iPad, Android tablets, Win 8 tablets etc.) and access devices (Switches, Eye Gaze, Touch screens, keyboards etc.) The web site contains a variety of games and activities, designated for teaching and learning various subjects and skills. All the games and activities have been made accessible for various populations in special education.","Education, Internet","Tel Aviv-yafo, Tel Aviv, Israel",Special Needs Online Learning Environment,"660,607"
Mindguard,https://www.crunchbase.com/organization/mindguard,2000-01-01,year,"The MindGuard team offers a unique blend of scientific and engineering expertise. The company know-how integrates the fields of mechanical engineering, blood flow dynamics and blood cell biology with cardiology, neurology and invasive radiology. World opinion leaders are active participants on the multidiscipline International Advisory Board purposed to further company endeavors.","Health Care, Medical, Medical Device, Neuroscience","Caesarea, Hefa, Israel",The MindGuard team offers a unique blend of scientific and engineering expertise.,"688,867"
Cognilyze,https://www.crunchbase.com/organization/cognilyze,2014-03-01,day,"Cognilyze is the only psychology-based, Motivation Driven Recommendations Engine:tm:.  While traditional engines see what you buy, only Cognilyze sees WHY.  Cognilyze Motivation Based Recommendations:tm: are therefore highly personalized and relevant, pleasantly surprising the shopper with product suggestions that make sense right now, even if they’re not similar to previous purchases, or popular among the crowd (long tail)… because Cognilyze doesn’t care WHAT EVERYONE buys, only WHY EACH INDIVIDUAL SHOPPER is MOTIVATED to buy.","E-Commerce Platforms, Personalization","Beit-shemesh, Yerushalayim, Israel","Cognilyze is a psychology-based, motivation driven recommendations engine, providing recommendations for individual shoppers.","689,975"
Sela Medical,https://www.crunchbase.com/organization/sela-medical,2001-01-01,year,"Sela medical specializes in importing and marketing cutting-edge medical, neuro, aesthetic, and fitness products. They provide services in urology, ob-gyn neuroradiology, peripherals intervention orthotic rehabilitation, electrophysiology surgery, aesthetics spine, and G.I. sports medicine.","Customer Service, Health Care, Medical Device","Petah Tikwah, HaMerkaz, Israel","Sela Medical is a distributor of aesthetics, fitness, sports, and medical equipment.","713,336"
GG Apps,https://www.crunchbase.com/organization/gg-apps,2016-01-01,day,"GG Apps specializes in providing cognitive behavioral therapy applications. The platform was created for the sole purpose of utilizing the latest mobile technologies for effective psychological training. The company was founded in 2016 and is headquartered in Tel Aviv, Israel.","Apps, Mobile Apps, Software","Tel Aviv, Tel Aviv, Israel",GG Apps specializes in providing cognitive behavioral therapy application.,"720,187"
ProCore,https://www.crunchbase.com/organization/procore-biomed,2008-01-01,year,"ProCore is a biotechnology company developing solutions to improve the quality of life of patients suffering from joint and bone diseases. The company developing cost-effective solutions with a focus on bone and cartilage regeneration, integrating proprietary scaffolds, growth factors, and stem or progenitor cells. ProCore's flagship RegenoGel family is based on proprietary HAProLink technology, a platform technology that links hyaluronic acid to a protein of choice to create a microenvironment for the body to heal itself via natural, gentle cartilage and bone regeneration. The company’s technology platform includes a variety of biomaterials useful for multiple clinical applications, in particular, hyaluronic acid-based injectable hydrogels; a set of proprietary growth factors with enhanced activity, selectivity, and stability; and protocols for stem and progenitor cell isolation, expansion, and differentiation. ProCore was established in 2008 and is headquartered in Ness Ziona, HaMerkaz, Israel","Bioinformatics, Biotechnology, Health Care, Medical, Neuroscience","Ness Ziona, HaMerkaz, Israel",ProCore is a biotechnology company developing solutions to improve the quality of life of patients suffering from joint and bone diseases.,"723,278"
CognitiveID,https://www.crunchbase.com/organization/cognitiveid,2016-01-01,year,"CognitiveID, a finalist of the prestige Microsoft Innovate.AI and NVIDIA Inception Award competitions, provides a continuous behavioural and cognitive user identification solution that minimizes online identity theft and account take-over while improving user online experience.  They provide the most accurate solution in the industry to identify the real user behind the screen by leveraging advanced Deep / Machine learning technologies that analyse the user’s Cognitive, Behavioural and Physiological traits, resulting in unprecedented accuracy and near zero false positive rate.","Artificial Intelligence (AI), Computer, Network Security","Tel Aviv, Tel Aviv, Israel",CognitiveID provides a continuous behavioural and cognitive user identification solution that minimizes online identity theft.,"731,468"
NAN Instruments,https://www.crunchbase.com/organization/nan-instruments,,,,"Medical Device, Semiconductor","Nof Yam, HaMerkaz, Israel",NAN Instruments designs and develops a wide range of devices for recording electrical activity from the brain and nervous system.,"735,553"
Brain1 Ltd,https://www.crunchbase.com/organization/brain1,2015-01-01,year,Brain1 had developed a most innovative non-invasive technology which creates  BrainWaves at a desired frequency. Brain1 is manufacturing today the BrainWavez - the world's first device that enables users to create desired Brain Waves with a click of a button.,"Health Care, Life Science, Lifestyle, Wellness","Giv'atayim, Tel Aviv, Israel",Brain1 is a health care company that offers brain related products.,"736,235"
Metapsy,https://www.crunchbase.com/organization/metapsy,2021-11-01,day,,"Health Care, Mental Health, Psychology","Tel Aviv, Tel Aviv, Israel",VR solution for mental health,"736,577"
NeuroAudit Ltd.,https://www.crunchbase.com/organization/neuroaudit-ltd,2016-01-01,day,,"Health Care, Neuroscience","Kibbutz Afikim, HaZafon, Israel",NeuroAudit is developing an innovative closed-loop Neuromodulation technology steered for Personalized treatment of Brain disorders.,"761,809"
NeuroIndex,https://www.crunchbase.com/organization/neuroindex,,,,"Artificial Intelligence (AI), Elder Care, Health Care, Professional Services","Haifa, Hefa, Israel",NeuroIndex develops an AI-based brain health platform to prevent brain damage during anesthesia for monitoring EEG and processing units.,"774,775"
Neurogenic,https://www.crunchbase.com/organization/neurogenic,1995-01-01,day,"Neurogenic Ltd. is a clinical-stage diagnostics company developing sensitive immunoassays to assist in the diagnosis of mental disorders. Neurogenic is collaborating with colleagues from the Weizmann Institute of Science, Rehovot, the Department of Psychiatry, Faculty of Medicine, Tel Aviv University, Tel Aviv, the Beer Yaakov-Ness-Ziona Mental Health Center, Ness Ziona, the Geha Mental Health Center, Petach Tikva, and the Laboratory of Biological Psychiatry, Felsenstein Medical Research Center, Beilinson Campus, Rabin Medical Center, Petah Tikva, Israel to develop a straightforward, sensitive ELISA-based immunoassay  to detect the autoimmune Platelet-Associated Antibodies (PAA) in the sera of adolescent and pediatric patients suffering from early-onset symptoms of schizophrenia.","Health Care, Health Diagnostics, Wellness","Tel Aviv, Tel Aviv, Israel",Neurogenic is a clinical-stage diagnostics company that develops sensitive immunoassays to facilitate the diagnosis of mental disorders.,"779,783"
HighRad Ltd.,https://www.crunchbase.com/organization/highrad-ltd,2019-12-01,day,,"Health Care, Medical Device","Tel Aviv, Tel Aviv, Israel","HighRad is a stealth mode neuro-imaging and medical image processing. , medical device company","795,965"
Sensegon,https://www.crunchbase.com/organization/sensegon,2010-01-20,day,"Sensegon offers a psycho-social advertisement based-solution, derived from multi-layered human interactions in social networks.  Our technology is a cloud-based intelligence engine which accurately profiles a user's personality through real-time human interactions which occur within any given social platform. Users' personality is identified through Sensegon's pre-defined personas which are developed by no less than 300 different behavioral parameters of users' social interactions. By exposing personality, advertisers can identify new micro-clusters within their audiences allowing the to split campaigns and  build unique creative displays based on these results.","Ad Targeting, Advertising, Psychology, Social Media","Ra'anana, HaMerkaz, Israel",Sensegon provides online solutions that offer analysis of online individual social behavioral patterns.,"801,524"
Ceretrieve,https://www.crunchbase.com/organization/ceretrieve,2016-12-01,month,"Ceretrieve is a medical device company developing a medical device for treating ischemic stroke. They also developing an innovative neuro-thrombectomy system with integrated embolic protection features that will safely and efficiently extract blood clots from large vessels in the brain and restore blood flow following an ischemic stroke.  The Company’s next-generation aspiration catheter will improve clinical outcomes by securely removing the entire clot in one pass with the catheter’s proprietary large-bore funnel and closure tip. CathTrap provides physicians with a safe, easy-to-use device to prevent distal embolization during thrombectomy procedures for better treatment efficiency and offers patients improved clinical outcomes. Ceretrieve was founded in December 2016 and is headquartered in Misgav, Israel.","Health Care, Medical, Medical Device","Misgav, HaZafon, Israel",Ceretrieve is a medical device company developing a medical device for treating ischemic stroke.,"814,522"
Digital Trowel,https://www.crunchbase.com/organization/digital-trowel,2008-01-01,year,"DT develops Text mining and NLP tools. DT collects, distills and disseminates data from the Internet into the knowledge you need to make smart business decisions.  Their breakthrough NLP (natural language processing) technologies mine the depths of the Web, find relevant data quickly, understand it and refine it to meet your specific needs. The source of Digital Trowel's exceptional productivity is a unique, cross-disciplinary team made up of world-leading scientists, technologists, database industry strategists, and highly experienced entrepreneurial managers. DT was co-founded by Prof. Ronen Feldman, the scientist who coined the term ""text mining."" He is the author of the text mining industry's definitive textbook, and founded one of text mining's first and most successful commercial companies. Digital Trowel has assembled leading technologists from the fields of text analytics, mathematics/algorithms, infrastructure and software development, as well as veteran database industry strategists and business managers. This strong, comprehensive combination gives you the ability to tap the agility, experience and raw brain power you need to create high-value text mining and data analytic applications and carry out challenging assignments.","Artificial Intelligence (AI), Business Intelligence, Knowledge Management, Mobile Devices, Natural Language Processing, Neuroscience, Software","Lod, HaMerkaz, Israel",Digital Trowel develops text mining and natural language processing tools that facilitate business decision-making.,"833,432"
Perceive Brain Health,https://www.crunchbase.com/organization/perceive-brain-health,2020-01-01,year,Perceive Brain Health is a health start-up that uses AI and voice analysis to identify indicators of suspected stroke.,"Artificial Intelligence (AI), Health Care, Medical","Tel Aviv, Tel Aviv, Israel",Perceive Brain Health is a health start-up that uses AI and voice analysis to identify indicators of suspected stroke.,"837,947"
Optical Imaging,https://www.crunchbase.com/organization/optical-imaging,2006-01-01,year,"Optical Imaging is a revenue stage medical device company that specializes on clinical markets. It provides ophthalmic equipment for early diagnosis, targeted treatment, and treatment monitoring. Its retinal function imager and brain imager 3001 systems are based on Optical Imaging’s proprietary technological innovations which won world-wide recognition because of its unique ability to “see the invisible”. Using state-of-the-art image acquisition hardware, image processing, and statistical analysis algorithms, Optical Imaging seeks to develop and introduce novel diagnostic equipment to the medical community that will supplement and gradually replace the traditional ones.","Biotechnology, Health Care, Health Diagnostics, Medical Device","Rehovot, HaMerkaz, Israel","Optical Imaging provides ophthalmic equipment for early diagnosis, targeted treatment, and treatment monitoring.","840,636"
InnoVision Labs,https://www.crunchbase.com/organization/innovision-labs,2007-01-01,year,"InnoVision Labs is a visual neuroscience technology company, utilizing patented technology to develop and commercialize consumer-oriented software applications. ","Biotechnology, Computer, Consumer Electronics, Information Technology","Ramat Gan, Tel Aviv, Israel","InnoVision Labs is a visual neuroscience technology company,","874,435"
Odin Medical Technologies,https://www.crunchbase.com/organization/odin-medical-technologies,1996-01-01,year,"Odin Medical Technologies develops, manufactures and commercializes Intraoperative MRI systems designed for use by the neurosurgeon in standard ORs. The compact, open PoleStar N-10* is a real-time imaging and navigation system utilized during all stages of brain surgery. The unit offers the neurosurgeon the differentiation capabilities of MRI without restricting the freedom of the surgical team to access the patient. The Companyï¿½s mission is to improve neurosurgical interventions with minimally invasive procedures. *PoleStar N-10 is FDA cleared for intraoperative MR imaging in a conventional O.R.","Manufacturing, Medical, Medical Device, Navigation","Yoqne`am `illit, HaZafon, Israel","Odin Medical Technologies develops, manufactures and commercializes Intraoperative MRI systems","894,628"
Emelai,https://www.crunchbase.com/organization/emelai,2016-01-01,year,"Emelai provides thir clients tools, processes and proprietary neuroscience algorithms to build low-cost and effective Artificial Intelligence cognitive computing platforms to help solve last mile problems.","Artificial Intelligence (AI), Information Services, Information Technology, Machine Learning","Tel Aviv, Tel Aviv, Israel",Emelai is a technology startup using Artificial Intelligence cognitive computing to create automated Habit Formation digital platforms.,"906,162"
Biomarkerz,https://www.crunchbase.com/organization/biomarkerz,2020-01-01,year,,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Mental Health, Telehealth","Tel Aviv, Tel Aviv, Israel",Biomarkerz is a telehealth platform that focuses on creating AI-based medical technology biomarkers for mental health therapy.,"921,998"
I-Traffix,https://www.crunchbase.com/organization/i-traffix,2008-01-01,day,"I-Traffix develops solutions based on Video Inform cognitive learning technology. Ronen Saggir founded it on January 1, 2008, with its headquarters in Petach Tikvah in Israel.","Artificial Intelligence (AI), EdTech, Information Technology, Machine Learning, Video","Petah Tikwah, HaMerkaz, Israel",I-Traffix develops solutions based on Video Inform cognitive learning technology.,"926,965"
BrainVu,https://www.crunchbase.com/organization/brainvu,2016-09-01,month,BrainVu’s technology develops machine vision-based technology to deduce the mental state of a person from an image captured by a smartphone camera.,"Computer, Machine Learning, Software","Caesarea, Hefa, Israel","BrainVu develops new technology for brain-based, superior Human2Human / Humann2Machine communication.","931,093"
GeneGrafts,https://www.crunchbase.com/organization/genegrafts,2003-01-01,year,"GeneGrafts Ltd. is a biotechnology company developing proprietary technology for modulating excitable tissues, such as of brain or heart, by cell therapy. This new paradigm can be used for treatment of various diseases including Parkinson's disease and other neurological disorders or cardiac arrhythmias. They have developed a novel technology platform based on transplantation of cell grafts, isolated from the patient's own body, which defines the ion channels. These grafted cells integrate functionally and structurally with the target organ, and their electrical properties are derived from the expressed ion channels. The electrical properties of target organ are modulated in a predetermined way. This technology is designed for treatment of neurological disorders and cardiac arrhythmias.","Biotechnology, Health Care, Medical","Haifa, Hefa, Israel",Cell therapy for modulating excitable tissues,"947,178"
Cybernite,https://www.crunchbase.com/organization/cybernite,2020-01-14,day,"CyberNite – Personalizing Cyberdefense for your employees. CyberNite is a personal cyber assistant for every company’s employees in their work environment. We combine innovative AI technology and machine learning with the most powerful tool – the human brain. A winning combination allowing users to take an active role against cyber-attacks and helping them identify, practice, and significantly improve their ability to detect and prevent cyber-attacks. Users make faster and wiser decisions; they become a dominant and essential part of cyber-attack protection.","Artificial Intelligence (AI), Cyber Security","Tel Aviv, Tel Aviv, Israel",The Personal Cybernite Security platfrom,"947,430"
Samuel Neaman Institute,https://www.crunchbase.com/organization/samuel-neaman-institute,1978-01-01,year,,"Education, Health Care, Product Research","Haifa, Hefa, Israel","Samuel Neaman Institute is an educational organization that provides research programs for mental, and physical health development.","973,817"
Coach The Bot,https://www.crunchbase.com/organization/coach-the-bot,2018-01-01,day,"Coach The Bot develops an AI assistant intended to connect, control, and protect chatbot stack. Its platform offers language processing services, cognitive services, analytics, live chat monitoring and CRM services, enabling clients to reduce time to market and enhance accuracy and customer experience","Artificial Intelligence (AI), Chatbot, Information Technology, Natural Language Processing, Software","Tel Aviv, Tel Aviv, Israel","Coach The Bot develops an AI assistant intended to connect, control, and protect chatbot stack.","1,022,555"
OmegaMore,https://www.crunchbase.com/organization/omegamore,2013-01-01,day,"OmegaMore develops, manufactures and markets omega-3 supplements extracted from sea algae. It has developed a product based on an innovative formula with essential components for the treatment and prevention of cognitive diseases such as Alzheimer's, depression and ADHD, as well as a wide range of heart and liver malfunctions, metastatic cancer and more. It grows the algae in freshwater ponds to which it adds salts and minerals - In this way, it can simulate the natural environment of algae but avoid exposure to pollution and heavy metals that are present in the sea. Its mission is to help improve quality of life by preventing and blocking the development of most brain disorders, cardiovascular diseases, and even alleviating existing illnesses by increasing the Omega-3 fatty acids concentration in red blood cells.","Biotechnology, Food and Beverage, GreenTech, Health Care, Sustainability","Rishon Letsiyon, HaMerkaz, Israel","OmegaMore develops, manufactures and markets omega-3 supplements extracted from sea algae.","1,029,988"
MemoryPlus,https://www.crunchbase.com/organization/memoryplus,,,MemoryPlus is a developer of novel therapies intended to create a drug for age-dependent cognitive impairment and Alzheimer's disease.,"Health Care, Health Diagnostics, Medical","Herzliya, Tel Aviv, Israel",MemoryPlus is a preclinical company developing a novel therapy for age dependent cognitive impairment and Alzheimer’s disease.,"1,036,949"
Musli Thyropeutics,https://www.crunchbase.com/organization/musli-thyropeutics,2011-01-01,day,"Musli Thyropeutics is a pharmaceutical company that specializes in developing a combination of repurposed drugs for cancer treatment. It focuses on glioblastoma multiforme and brain metastases from lung and other cancers and other aggressive cancers. The company was founded in 2014 and headquartered in HaMerkaz, Israel.","Health Care, Health Diagnostics, Medical, Oncology","Zur Moshe, HaMerkaz, Israel",Musli Thyropeutics is a pharmaceutical company that specializes in developing a combination of re-purposed drugs for cancer treatment.,"1,039,619"
4Girls,https://www.crunchbase.com/organization/4girls,2018-01-01,year,"4Girls uses AI and NLP technologies and the knowledge of mental health pro, to create a distress risk score of one's mental health.","Artificial Intelligence (AI), Health Care, Mental Health, Wellness","Tel Aviv, Tel Aviv, Israel","4Girls uses AI and NLP technologies and the knowledge of mental health pro, to create a distress risk score of one's mental health.","1,046,886"
Monfort,https://www.crunchbase.com/organization/monfort,2014-01-01,year,"To improve the health and safety of patients suffering from neurological disorders ,they believe that it is only by applying an inclusive and personal monitor, they can  treat the various aspects of each type of neurological disorder, for each individual patient. By leveraging mobile technology they provide a personal and real-time feedback between the patient and physician which allows remote treatment optimization.","Biotechnology, Health Care, Medical, Software","Binyamina, Hefa, Israel",Monfort is a product that leverages smartphone capabilities to monitor brain functions.,"1,055,857"
Decodea,https://www.crunchbase.com/organization/decodea-f224,,,,"Analytics, Artificial Intelligence (AI), Information Technology","Eilot, HaDarom, Israel",Decodea is a technology company that develops AI-based cognitive computing approaches to emulate human abstract thinking.,"1,078,201"
MindTension,https://www.crunchbase.com/organization/mindtension,,,,"Health Care, Manufacturing, Medical Device","Nir`am, HaDarom, Israel",MindTension manufactures medical devices to accurately measure the brain stem’s reflexive response to auditory sounds.,"1,078,295"
Kideo Tech,https://www.crunchbase.com/organization/kideo-tech,2014-12-28,day,,"EdTech, Education, Gamification, Gaming","Tamra, HaZafon, Israel","Develops games that exercise the brain while having fun. Education has to have a fun side, in order to be truly effective for 3-12 learners.","1,081,253"
Summit Institute,https://www.crunchbase.com/organization/summit-institute-e521,1973-01-01,year,,"Non Profit, Rehabilitation, Therapeutics, Wellness","Jerusalem, Yerushalayim, Israel","Summit Institute is a non-profit organization that provides mental health treatment, therapeutic programs, and rehabilitation facilities.","1,127,071"
Spero Biopharma,https://www.crunchbase.com/organization/spero-biopharma,2019-06-01,day,"Spero Biopharma is developing Ladostigil an innovative treatment for Mild Cognitive Impairment. Spero Biopharma was founded by Prof. Marta Weinstock-Rosin, a world-renowned researcher of Alzheimer's disease. Prof. Weinstock-Rosin is the inventor of Exelon®, a blockbuster drug for the treatment of Alzheimer’s disease, and a professor emeritus at the Hebrew University’s School of Pharmacy-Institute for Drug Research in the Faculty of Medicine.","Biopharma, Biotechnology, Health Care, Wellness","Tel Aviv, Tel Aviv, Israel",Spero Biopharma is developing Ladostigil an innovative treatment for Mild Cognitive Impairment.,"1,156,545"
Revealers App,https://www.crunchbase.com/organization/revealers-app,2013-01-01,year,"The high-speed game created by Apps23. It's a game that lets you steal your friends' brain cells and blow their minds. Founded in 2013, Apps23 is an app studio where developers can build fun and innovative mobile applications.  The first product being released by the company is Revealers, a turn-based guessing game that the team has been developing since 2012.  Apps23 was founded by Muly Litvak and lives by his personal motto: We’ll try something 23 times, the 24th time we give up.","Apps, Gaming, iOS","Tel Aviv, Tel Aviv, Israel",Revealers App is a mobile phone application made by Apps23 that focuses on social media interaction and games.,"1,176,514"
Insight Sparks,https://www.crunchbase.com/organization/insight-sparks,2014-11-01,day,"Insight Sparks is a social venture that combines the power of social psychology and digital company. They are building innovative, scientific tools, incorporated within formal/non-formal education systems, which develop tolerant, emphatic, and inequality-sensitive behaviors, by doing what kids love most Playing a Game. Insight Sparks builds innovative, scientifically-proven digital & hybrid super cool games, integrated into pedagogic programs, which develop the skills needed for a better Acceptance of the Other. It was founded in 2014 and is based in Tel Aviv, Israel.","Children, EdTech, Gaming","Tel Aviv, Tel Aviv, Israel",Insight Sparks is a social venture that combines the power of social psychology and digital company.,"1,185,165"
